種番号,和名,学名,属,属（日本語）,科,科（日本語）,目,目（日本語）,亜種
585,キセキレイ,Motacilla cinerea,MOTACILLA,セキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,種
585-1,キセキレイ,Motacilla cinerea cinerea,MOTACILLA,セキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,亜種
586,ハクセキレイ,Motacilla alba,MOTACILLA,セキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,種
586-1,ヨーロッパハクセキレイ,Motacilla alba alba,MOTACILLA,セキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,亜種
586-2,タイワンハクセキレイ,Motacilla alba ocularis,MOTACILLA,セキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,亜種
586-3,ハクセキレイ,Motacilla alba lugens,MOTACILLA,セキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,亜種
586-4,ホオジロハクセキレイ,Motacilla alba leucopsis,MOTACILLA,セキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,亜種
586-5,ネパールハクセキレイ,Motacilla alba alboides,MOTACILLA,セキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,亜種
587,セグロセキレイ,Motacilla grandis,MOTACILLA,セキレイ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,種
588,マミジロタヒバリ,Anthus richardi,ANTHUS,タヒバリ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,種
588-1,マミジロタヒバリ,Anthus richardi richardi,ANTHUS,タヒバリ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,亜種
589,コマミジロタヒバリ,Anthus godlewskii,ANTHUS,タヒバリ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,種
590,マキバタヒバリ,Anthus pratensis,ANTHUS,タヒバリ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,種
591,ヨーロッパビンズイ,Anthus trivialis,ANTHUS,タヒバリ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,種
591-1,ヨーロッパビンズイ,Anthus trivialis trivialis,ANTHUS,タヒバリ属,MOTACILLIDAE,セキレイ科,PASSERIFORMES,スズメ目,亜種
